District,Rooms_Numbers,Floor ,Datum_Point,Family_Name,ID
ýýýAqrah,2,7,4 Gale Street,Dupoy,1
Salwï¿,5,5,7206 Oriole Street,Height,5
Vyritsa,6,10,17 Fuller Road,Parfitt,7
Zarechnyy,6,3,76548 Mariners Cove Plaza,Nulty,8
Jakhaly,4,4,63 Merry Lane,Clemencon,10
Algï¿½,10,9,033 Derek Plaza,Tregunnah,12
Keren,6,8,22 Scott Plaza,Brech,13
Rudna Maï¿½,1,2,70030 Magdeline Lane,Sowerby,15
Itsandzï¿½ï,4,10,56 Farwell Court,Dunsford,16
Tomelilla,9,2,9 Prairie Rose Lane,Doore,17
Chester,6,7,2 Hudson Pass,Orrocks,18
Padangtiji,10,6,70 Golf Course Crossing,Metherell,19
Smithers,1,10,3760 Lakeland Hill,Herley,24
Plesnï¿,9,7,4 Cambridge Place,Pickerin,25
Quintï¿½,3,9,69 6th Way,Cosbee,27
Santa Ana Huista,4,7,367 Crownhardt Alley,Dabnor,28
Solkan,9,2,2 Birchwood Point,Varney,31
Thomazeau,2,2,86 Lerdahl Junction,Schlagman,33
Kaliasin,2,9,32777 Valley Edge Parkway,Bester,34
Beï¿½ï¿,6,3,2 Saint Paul Circle,Robiou,35
Qiawan,10,8,4 Clemons Park,Surfleet,36
Kovernino,7,5,141 Chive Way,Damp,37
Runsonglaozhai,5,7,7 Sherman Court,Olivia,39
Cruz,1,5,612 Merrick Drive,Yewman,40
Tres Isletas,3,6,9 Portage Crossing,Berndtssen,41
Kafr Thulth,6,4,8699 Amoth Place,Spreull,45
Saguing,4,7,998 Little Fleur Trail,Thoresby,46
Nangerang,6,7,62 Hayes Crossing,Keady,47
Bilopillya,8,6,97 Garrison Court,Ridett,49
Hornï¿½ï¿½ Poï¿,7,2,34423 Mccormick Point,Simson,51
Vila Nova da Baronia,2,3,6 Birchwood Junction,Lowe,52
ýýernilov,6,10,384 Sunnyside Trail,Ohlsen,54
Colorado Springs,10,10,86 Bunting Road,Hilldrop,57
Mugango,7,1,33 Gerald Court,Fosserd,59
Longwei,5,8,25629 Kedzie Street,Fawdrie,61
Jubao,9,6,5 Talmadge Alley,Orrice,66
Mayskiy,10,10,27957 Leroy Point,Iannitti,67
Figueira,7,3,3901 Melrose Lane,Gulc,68
Yasothon,2,7,2272 Northfield Place,Bulmer,70
Breda,6,1,4 Quincy Drive,Toms,71
Banho e Carvalhosa,4,9,3 Mayer Lane,Buttler,72
Himeville,4,8,5877 Tennyson Pass,Stephens,73
Anolaima,9,6,60261 American Avenue,Ogelbe,74
Lucapa,8,1,37540 Vera Avenue,Glader,75
Cisompet,8,4,8397 Dixon Court,Ferronier,76
Mï¿½ï¿½,3,2,88 Aberg Parkway,Henkmann,77
Zijin,10,2,1647 Gateway Place,Robjents,79
Longshi,10,8,9263 Larry Street,Colleck,80
Qiashui,9,7,7 John Wall Parkway,Maskelyne,81
Qianyou,4,2,58 Paget Park,Cairney,83
Kholmsk,10,6,6364 Novick Street,Dunstall,85
Bejucal,4,3,61558 Forster Street,A'Barrow,86
Froly,2,8,260 Cottonwood Junction,Coope,88
ýýýýki Szlacheckie,7,2,4 Golf Course Drive,Alliban,89
Lubao,8,2,72709 Mandrake Hill,Cosham,91
Ferapontovo,3,5,58 Upham Lane,Scholler,94
Harhorin,10,5,31275 Jay Plaza,Curl,95
Bibis,7,9,09 Welch Park,Cubbinelli,97
Calinaoan Malasin,5,7,301 Morrow Point,Rimington,99
Dï¿½ï¿½u,3,6,33076 Daystar Terrace,Dugall,100
Tï¿½ï¿½o P,9,9,2172 Saint Paul Place,Tincey,104
Rouen,8,2,3145 Ridgeview Avenue,Chason,105
Gornja Koprivna,9,1,6 Truax Crossing,Tunney,106
Yushan,1,4,706 Tennyson Place,Garrick,107
Shoushan,1,3,93497 Blackbird Circle,Achromov,110
Los Santos,2,7,71 Pepper Wood Crossing,Daviddi,111
Obo,6,10,0 Raven Way,Dwerryhouse,112
Grangwav,4,5,6 Mariners Cove Street,Tax,113
Huai Yot,9,10,1 Sunnyside Crossing,Duer,115
Wohyï¿,5,4,08971 Walton Street,Ivanyushin,118
Balkh,5,10,50 Kingsford Street,Lobell,119
Flushing,5,6,7 Becker Way,Tuckwell,120
Tï¿½ï¿½b,9,8,5 Holmberg Avenue,Glasscott,121
Solna,7,4,978 Debra Trail,Amorts,123
Nï¿½ï¿,4,5,804 Vahlen Avenue,Liquorish,124
Makurazaki,1,4,45949 Blaine Parkway,Ritchard,125
Kumanovo,4,7,1317 Claremont Court,Duester,126
Carromeu,7,9,57 Ohio Drive,Pettendrich,127
Zhangdian,7,7,6567 Tennessee Place,Lippiett,128
Pagersari,7,8,2 Bay Way,Kupis,129
Santa Rita,10,8,64 Dryden Hill,Ovey,132
Paris 11,9,4,00475 8th Street,Sim,133
Pitogo,5,10,99 Esker Plaza,Snoad,134
Arroio do Meio,8,8,5321 Transport Point,Tolotti,136
Kavieng,7,6,36 Susan Trail,Pentland,137
Quinta,8,8,112 Russell Road,Hamner,139
Wulingyuan,9,3,637 Kenwood Junction,Daborne,140
Goumï¿½ï¿½n,7,9,65419 Stuart Road,De Antoni,142
Shangyi,2,7,6 Boyd Parkway,Vernay,144
Sidaraja,4,4,1090 Summerview Center,Mantram,145
Laiguangying,1,2,0870 Buhler Plaza,Hatchett,146
Chengqu,6,7,2 Buhler Drive,Brower,148
Gujba,5,7,68978 International Park,Bispham,149
Saint-Lambert-de-Lauzon,7,7,53425 Texas Pass,Swinnard,150
Lianfa,6,1,76 Corry Street,Tamburi,151
ýýyse,2,6,887 Carpenter Road,Heaker,154
Siay,5,2,5668 Gulseth Parkway,Gentsch,155
Woerden,7,7,8 Arizona Way,Pynner,157
Tuguanpu,3,8,08 Saint Paul Alley,Keri,159
La Loma,8,3,972 Huxley Crossing,Hulatt,161
Batang,1,7,5 Grayhawk Hill,Almey,162
